MORE_THAN_STRONG_FLAVOUR,Extremely {0},非常に{0}
ACCEPT_GIFT_FROM_NPC,Accept these items from {0}?,これらのアイテムを{0}から受け取りますか？
ACTION_HAPPENING,I can't do two things at once...,二つのことは同時にできない・・・
ADD_TO_BLUEPRINT,Add {0} to {1},{0}を{1}に足す
A_FEW,a few {0},いくつかの{0}
BY_AUTHOR,By {0},{0}著
AVAILABLE,Available,購入可能
LESS_THAN_SUBTLE_FLAVOUR,Barely {0},ギリギリ{0}
BLUEPRINT,Blueprint,設計図
BLUEPRINT_FULL,{1} already has enough of {0},{1}にこれ以上{0}は必要ない
BLUEPRINT_RESEARCH_TAB,Research,研究
BLUEPRINT_SHOP,Shop,ショップ
BLUEPRINT_UNLOCKED,New Blueprint Unlocked!,新しい設計図がアンロックされた！
BOOKMARK_NOT_FOUND,There is no {0} here,ここに{0}はない。
BOOKMARK_TITLE_WITH_LIQUID,{0} ({1}),{0}({1})
BOTH_HANDS,Both Hands,両手
BOTH_ORGANS,Male and female sexual organs.,両性具有
BUILD,Build,建築する
BUILT,Built,建築済み
BUG_REPORT_TIMEOUT,Failed to send bug report (timeout). Check your internet connection and try again.,バグの報告が失敗しました（タイムアウト）。インターネットの接続を確認してください。
BUY_TO_CONTINUE,Congratulations on surviving for {0} days!,{0}日間の生存おめでとう！
CANCEL,Cancel,キャンセル
CAN_HOLD_ONLY_ONE,{0} can only hold one kind of {1},{0}は{1}を一種類しか持てない
CANNOT_AFFORD,Not enough {0} to buy this...,これを買うには{0}が足りない・・・
CANNOT_BE_TAKEN_OUT,{0} can't be taken out of {1},{1}から{0}を取り除くことはできない
CANNOT_EQUIP_MORE,Cannot equip more than {0} {1},{1}には{0}つ以上装備できない。
CANNOT_EQUIP_PINS,Pins cannot be equipped!,ピンは装備できない！
CANNOT_INSPECT,Take item out of container to inspect.,確認するには、容器から出してみよう。
CANNOT_MAKE_BLUEPRINT,{0} cannot be made here...,ここで{0}は作れない・・・
CANNOT_PUT_ITEMS_IN,{0} is closed shut,{0}は固く閉ざされている
CANNOT_RECEIVE_MORE,{1} does not have room for {0},{1}には{0}を入れるスペースがない
CANNOT_TAKE_MORE,Cannot take more {0} from {1},これ以上{1}から{0}を取れない
CARD_INFO,Info,情報
CHARACTER,Character,キャラクター
CHARACTER_CREATOR,Create New Character,キャラクターを作成
CHECKPOINT_MODE,Checkpoint Mode,<size=70%>チェックポイント モード
CLEAR_CARD_FILTERS,Clear Filters,フィルターをリセットする
COMPLETED_QUESTS,Completed,完了済み
CONFIRM,Confirm,確認
